names
"A'Quarone, Leonard"
"Abbott, Benjamin Vaughan, 1830-1890"
"Abbott, Lyman, 1835-1922"
"Abbott, Wilbur Cortez, 1869-1947"
"Abercrombie, John William, 1866-1940"
"Abercrombie, Lascelles, 1881-1938"
"Acheson, Dean, 1893-1971"
"Ackert, Frederick"
"Adams, Abigail, 1744-1818"
"Adams, Brooks, 1848-1927"
"Adams, C. F."
"Adams, Charles F. (Charles Francis), 1866-1954"
"Adams, Charles Francis, 1835-1915"
"Adams, Charles Kendall, 1835-1902"
"Adams, Ephraim Douglass, 1865-1930"
"Adams, George Burton, 1851-1925"
"Adams, Henry C. (Henry Carter), 1851-1921"
"Adams, Henry Mason, 1907-"
"Adams, Henry, 1838-1918"
"Adams, John, 1735-1826"
"Adams, Milward, 1857-1923"
"Adams, Randolph Greenfield, 1892-1951"
"Adams, Samuel, 1722-1803"
Ãdel (Cartoonist)
"Adler, Cyrus, 1863-1940"
"Adler, Felix, 1851-1933"
"Adler, Mortimer Jerome, 1902-2001"
"Adolph, Edward F. (Edward Frederick), 1895-1986"
"Agassiz, Alexander, 1835-1910"
"Ageton, Arthur A. (Arthur Ainslie), 1900-1971"
"Agle, Nan Hayden."
"Aguirre Velásquez, Eduardo"
"Ahrens, L. H. (Louis Herman), 1918-"
"Ajalbert, Jean, 1863-1947"
"Albritton, Errett C. (Errett Cyril), 1890-"
"Alderman, Edwin Anderson, 1861-1931"
"Aldrich, Thomas Bailey, 1836-1907"
"Alexander, Canby A., 1872-1901"
"Alfaro, Ricardo J. (Ricardo Joaquín), 1882-1971"
"Allam, M. W."
"Alleman, Gellert Spencer, 1913-"
"Allen, Douglas H."
"Allen, Florence Ellinwood, 1884-1966"
"Allen, Fred H. (Fred Hovey), 1845-1926"
"Allen, James Lane, 1849-1925"
"Allibone, S. Austin (Samuel Austin), 1816-1889"
"Alling, Duncan W."
"Allred, William, 1929-"
"Alonso, Dámaso, 1898-1990"
"Altsheler, Brent."
"Ames, Herman Vandenburg, 1865-1935"
"Amos, Samuel, active 1811-1838"
"Ancel, Richard"
"Anderson, Dillon, 1906-1974"
"Anderson, Edwin Hatfield, 1861-1947"
"Anderson, Jack, 1922-2005"
"Anderson, Rasmus Björn, 1846-1936"
"Andrew, John A. (John Albion), 1818-1867"
"Andrews, Charles McLean, 1863-1943"
"Andrews, Donald H. (Donald Hatch), 1898-"
"Andrews, Donald H. (Donald Hatch), 1898-"
"Andrews, E. A. (Ethan Allen), 1859-1956"
"Angell, James Burrill, 1829-1916"
"Angell, James Rowland, 1869-1949"
"Angelos, Peter G., 1929-"
"Ansorge, Conrad, 1862-1930"
"Anthon, Henry, fl. 1859"
"Anthony, Susan B. (Susan Brownell), 1820-1906"
"Appleby, John T. (John Tate), 1907-1974"
"Arey, Leslie Brainerd, 1891-"
"Arias Madrid, Harmodio, 1886-1962"
Aristotle
Aristotle.
"Arlington, Henry Bennet, Earl of, 1618-1685"
"Armour, Norman, 1887-1982"
"Armstrong, Hamilton Fish, 1893-1973"
"Armstrong, Lloyd, 1940-"
"Armstrong, S. C. (Samuel Chapman), 1839-1893"
"Arntgen, Val."
"Artôt, Désirée, 1835-1907"
"Asaph, 1829-1907"
"Asbert, Ernesto, 1873-"
"Ashton, Alfred P."
"Astley, Thomas, -1839"
"Astor, John Jacob, 1763-1848"
"Astor, Vincent, 1891-1959"
"Atherton, Ray, 1883-1960"
"Atkinson, Edward, 1827-1905"
"Atwood, Wallace Walter, 1872-1949"
"Auden, W. H. (Wystan Hugh), 1907-1973"
"Audiberti, Jacques, 1899-1965"
"Audubon, John James, 1785-1851"
"Auer, Leopold, 1845-1930"
"Auerbach, Berthold, 1812-1882"
Aurel.
"Austin, Emily, 1979-"
"Austin, Warren Robinson, 1877-1962"
"Ayer, A. J. (Alfred Jules), 1910-1989"
"Ayers, Jane Fawcett."
"Aylett, Judith Page Waller, 1804-1860"
"Babcock, James F. (James Francis), 1844-1897"
"Badeau, Adam, 1831-1895"
"Baer, Elizabeth"
"Baer, Elizabeth."
"Bain, Alexander, 1818-1903"
"Baker, Carlos, 1909-1987"
"Baker, Henry S."
"Baker, Thomas Stockham, 1871-1939"
"Baldwin, Bird T. (Bird Thomas), 1875-1928"
"Baldwin, Mark."
"Baldwin, Simeon E. (Simeon Eben), 1840-1927"
"Ball, Thomas Randolph."
"Ball, Thomas Randolph."
"Ballantine, Arthur A. (Arthur Atwood), 1883-1960"
"Ballentine, Robert, 1914-"
"Ballou, Maturin Murray, 1820-1895"
"Balsafiori, Arriano."
"Bamberger, Florence Eilau, 1882-1965"
"Bancroft, Frederic, 1860-1945"
"Bancroft, George, 1800-1891"
"Bancroft, Hubert Howe, 1832-1918"
"Bancroft, Wilder D. (Wilder Dwight), 1867-1953"
"Barbarigo, Andrea."
